date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:28:01	499560/499560	---M--	200	added ('OK')	image/png	etag:%2279f68-541e1725cd6f1%22	http://le-mugs.com/wp-content/themes/mugs/images/burger-boeuf-seul.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/burger-boeuf-seul.png	(from http://le-mugs.com/)
00:28:10	186068/186068	---M--	200	added ('OK')	image/png	etag:%222d6d4-541e17292874a%22	http://le-mugs.com/wp-content/themes/mugs/images/gourmandise-1.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/gourmandise-1.png	(from http://le-mugs.com/)
00:28:13	239280/239280	---M--	200	added ('OK')	image/png	etag:%223a6b0-541e17267c7ac%22	http://le-mugs.com/wp-content/themes/mugs/images/copeaux-chocolat.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/copeaux-chocolat.png	(from http://le-mugs.com/)
00:28:33	275065/275065	---M--	200	added ('OK')	image/png	etag:%2243279-541e17294f3b1%22	http://le-mugs.com/wp-content/themes/mugs/images/gourmandise-2.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/gourmandise-2.png	(from http://le-mugs.com/)
00:28:34	147431/147431	---M--	200	added ('OK')	image/png	etag:%2223fe7-541e1725014ed%22	http://le-mugs.com/wp-content/themes/mugs/images/agrumes-2.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/agrumes-2.png	(from http://le-mugs.com/)
00:28:38	233984/233984	---M--	200	added ('OK')	image/png	etag:%2239200-541e172973a10%22	http://le-mugs.com/wp-content/themes/mugs/images/gourmandise-3.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/gourmandise-3.png	(from http://le-mugs.com/)
00:28:41	47997/47997	---M--	200	added ('OK')	image/png	etag:%22bb7d-541e1726f1240%22	http://le-mugs.com/wp-content/themes/mugs/images/cuillere.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/cuillere.png	(from http://le-mugs.com/)
00:28:55	262387/262387	---M--	200	added ('OK')	image/png	etag:%22400f3-541e17265b368%22	http://le-mugs.com/wp-content/themes/mugs/images/cocktail.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/cocktail.png	(from http://le-mugs.com/)
00:29:13	214730/214730	---M--	200	added ('OK')	image/png	etag:%22346ca-541e172cf6551%22	http://le-mugs.com/wp-content/themes/mugs/images/mug-3.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/mug-3.png	(from http://le-mugs.com/)
00:29:13	242221/242221	---M--	200	added ('OK')	image/png	etag:%223b22d-541e172cce660%22	http://le-mugs.com/wp-content/themes/mugs/images/muffin-4.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/muffin-4.png	(from http://le-mugs.com/)
00:30:15	585557/585557	---M--	200	added ('OK')	image/jpeg	etag:%228ef55-541e17ad47edf%22	http://le-mugs.com/wp-content/uploads/2015/08/slide-5.jpg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/uploads/2015/08/slide-5.jpg	(from http://le-mugs.com/)
00:30:31	476364/476364	---M--	200	added ('OK')	image/jpeg	etag:%22744cc-541e17a7f2fb5%22	http://le-mugs.com/wp-content/uploads/2015/08/Slide-2-1920x1278.jpg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/uploads/2015/08/Slide-2-1920x1278.jpg	(from http://le-mugs.com/)
00:31:11	728974/728974	---M--	200	added ('OK')	image/jpeg	etag:%22b1f8e-541e17b29b627%22	http://le-mugs.com/wp-content/uploads/2015/08/Slide-10.jpg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/uploads/2015/08/Slide-10.jpg	(from http://le-mugs.com/)
00:31:22	912953/912953	---M--	200	added ('OK')	image/jpeg	etag:%22dee39-541e17a71f5db%22	http://le-mugs.com/wp-content/uploads/2015/08/Slide-1.jpg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/uploads/2015/08/Slide-1.jpg	(from http://le-mugs.com/)
00:32:06	684521/684521	---M--	200	added ('OK')	image/jpeg	etag:%22a71e9-541e17a960f1c%22	http://le-mugs.com/wp-content/uploads/2015/08/Slide-3.jpg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/uploads/2015/08/Slide-3.jpg	(from http://le-mugs.com/)
00:32:55	888303/888303	---M--	200	added ('OK')	image/jpeg	etag:%22d8def-541e17ac2fa46%22	http://le-mugs.com/wp-content/uploads/2015/08/Slide-4.jpg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/uploads/2015/08/Slide-4.jpg	(from http://le-mugs.com/)
00:33:02	686430/686430	---M--	200	added ('OK')	image/jpeg	etag:%22a795e-541e17ae5d7d4%22	http://le-mugs.com/wp-content/uploads/2015/08/Slide-6.jpg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/uploads/2015/08/Slide-6.jpg	(from http://le-mugs.com/)
00:33:34	543337/543337	---M--	200	added ('OK')	image/jpeg	etag:%2284a69-541e17b081798%22	http://le-mugs.com/wp-content/uploads/2015/08/Slide-8.jpg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/uploads/2015/08/Slide-8.jpg	(from http://le-mugs.com/)
00:33:55	949859/949859	---M--	200	added ('OK')	image/jpeg	etag:%22e7e63-541e17af948b6%22	http://le-mugs.com/wp-content/uploads/2015/08/Slide-7.jpg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/uploads/2015/08/Slide-7.jpg	(from http://le-mugs.com/)
00:34:13	439284/439284	---M--	200	added ('OK')	image/jpeg	etag:%226b3f4-541e1727d9f70%22	http://le-mugs.com/wp-content/themes/mugs/images/equipe1.jpg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/equipe1.jpg	(from http://le-mugs.com/)
00:34:16	256249/256249	---M--	200	added ('OK')	image/jpeg	etag:%223e8f9-541e1727fca20%22	http://le-mugs.com/wp-content/themes/mugs/images/equipe2.jpg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/equipe2.jpg	(from http://le-mugs.com/)
00:34:29	90411/90411	---M--	200	added ('OK')	image/png	etag:%221612b-541e1730e5cf1%22	http://le-mugs.com/wp-content/themes/mugs/images/spot-lumiere.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/spot-lumiere.png	(from http://le-mugs.com/)
00:34:40	274207/274207	---M--	200	added ('OK')	image/jpeg	etag:%2242f1f-541e172821a67%22	http://le-mugs.com/wp-content/themes/mugs/images/equipe3.jpg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/equipe3.jpg	(from http://le-mugs.com/)
